2013/11/25,PM2.5,104,85,67,51,51,35,27,9,14,14,19,19,18,21,17,20,20,23,30,31,34,27,29,31
2013/11/25,WIND_DIREC,40,73,45,28,36,45,36,53,51,57,42,59,45,49,21,39,37,34,281,342,21,27,29,20
2013/11/25,WIND_SPEED,2.9,1.7,1.6,1.7,3.6,4.1,3.2,2.9,5.3,4.5,5.3,6,4.2,3.5,3.8,3.6,1.9,0.9,0.6,1.3,1,1.2,1.2,1.6
2013/11/26,PM10,76,73,76,75,76,75,69,61,64,73,83,94,99,106,88,81,76,90,119,148,166,160,137,108
2013/11/26,PM2.5,34,34,33,31,32,28,27,27,30,33,35,42,49,55,43,44,42,48,58,73,95,90,81,61
2013/11/26,WIND_DIREC,19,39,36,30,26,30,27,27,17,325,298,246,290,222,254,252,243,13,34,97,283,111,117,121
2013/11/26,WIND_SPEED,1.7,1.1,1.6,1.2,1.4,1.2,1.1,1.4,1.3,1.2,1.8,1.2,1.5,1.6,2.3,2,1.1,1.2,0.9,0.7,0.9,0.6,1,0.9
2013/11/27,PM10,95,84,86,67,66,66,63,53,53,81,108,118,110,93,98,117,155,175,167,151,143,131,116,91
2013/11/27,PM2.5,61,56,61,53,51,41,36,34,40,45,50,49,46,37,40,48,62,58,60,59,62,50,38,35
2013/11/27,WIND_DIREC,31,111,83,19,31,37,34,42,6.6,67,56,40,32,34,333,39,62,51,39,41,43,45,54,33
2013/11/27,WIND_SPEED,0.9,1.2,0.5,1.1,0.8,1.6,1.6,2.2,2.8,5.3,3.2,4,4.1,4.1,3.7,4.3,3.8,3.5,2.4,2.2,3.8,3.7,3.8,2.8
2013/11/28,PM10,74,57,39,35,22,24,29,41,36,36,42,53,50,52,55,55,64,76,83,88,82,77,65,54
2013/11/28,PM2.5,34,29,19,15,10,15,20,30,27,22,19,27,28,44,37,41,27,37,44,48,53,46,45,27
2013/11/28,WIND_DIREC,36,40,331,48,51,49,45,30,32,30,32,43,23,42,41,47,27,36,32,27,32,11,44,33
2013/11/28,WIND_SPEED,3.4,3.8,2.4,4,3.1,4.5,4.3,2.3,3.4,2.5,2.2,3.3,3.3,3.9,3,2.4,1.6,2.9,3,2.7,1.6,2,2,2.1
2013/11/29,PM10,44,40,40,45,42,40,36,44,44,49,42,44,51,60,91,113,124,117,106,100,86,73,71,72
2013/11/29,PM2.5,24,19,25,23,24,16,21,19,25,28,31,34,35,41,46,59,68,67,64,60,57,50,47,53
2013/11/29,WIND_DIREC,31,33,34,38,26,40,38,45,36,33,35,38,1.7,32,49,11,7.6,33,34,29,34,34,25,26
2013/11/29,WIND_SPEED,1.1,1.7,2,2.5,1.5,1.3,0.8,1.5,2.7,2.7,2.7,2.9,3.9,4.3,5.1,4.3,2.7,2.5,1.6,1.8,1.5,1.1,1.2,1.2
2013/11/30,PM10,77,80,73,70,62,65,51,53,50,66,72,80,77,77,75,76,97,118,132,127,130,136,132,123
2013/11/30,PM2.5,49,44,41,41,43,44,39,38,35,46,47,46,39,44,43,54,71,88,96,92,100,98,102,94
2013/11/30,WIND_DIREC,16,20,34,26,35,87,105,24,269,253,181,277,271,188,260,281,316,314,64,128,131,28,94,129
